method,method_label,as_of_hour,contamination,robust_threshold,fit_scope,defect_recall,false_negative_rate,false_positive_rate,precision,median_lead_time_hours,n_early_warnings
isolation_forest,Isolation Forest,48.0,0.15,,per_family,0.625,0.375,0.006944444444444444,0.967741935483871,96.0,18
isolation_forest,Isolation Forest,48.0,0.2,,per_family,0.7291666666666666,0.2708333333333333,0.020833333333333332,0.9210526315789473,96.0,22
robust_mad,Median/MAD robust screening (repository rule),12.0,,2.5,,0.3333333333333333,0.6666666666666666,0.013888888888888888,0.8888888888888888,108.0,8
robust_mad,Median/MAD robust screening (repository rule),12.0,,3.5,,0.2708333333333333,0.7291666666666666,0.006944444444444444,0.9285714285714286,108.0,5
robust_mad,Median/MAD robust screening (repository rule),12.0,,4.5,,0.20833333333333334,0.7916666666666666,0.0,1.0,132.0,3
robust_mad,Median/MAD robust screening (repository rule),24.0,,2.5,,0.5,0.5,0.013888888888888888,0.9230769230769231,108.0,14
robust_mad,Median/MAD robust screening (repository rule),24.0,,3.5,,0.4583333333333333,0.5416666666666666,0.0,1.0,108.0,14
robust_mad,Median/MAD robust screening (repository rule),24.0,,4.5,,0.4375,0.5625,0.0,1.0,96.0,13
robust_mad,Median/MAD robust screening (repository rule),48.0,,2.5,,0.7291666666666666,0.2708333333333333,0.006944444444444444,0.9722222222222222,96.0,22
robust_mad,Median/MAD robust screening (repository rule),48.0,,3.5,,0.6458333333333334,0.3541666666666667,0.0,1.0,96.0,19
robust_mad,Median/MAD robust screening (repository rule),48.0,,4.5,,0.6458333333333334,0.3541666666666667,0.0,1.0,96.0,19
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",12.0,,2.5,,0.4583333333333333,0.5416666666666666,0.0625,0.7096774193548387,120.0,14
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",12.0,,3.5,,0.4375,0.5625,0.04861111111111111,0.75,108.0,13
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",12.0,,4.5,,0.375,0.625,0.020833333333333332,0.8571428571428571,108.0,11
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",24.0,,2.5,,0.5416666666666666,0.4583333333333333,0.0763888888888889,0.7027027027027027,108.0,16
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",24.0,,3.5,,0.5208333333333334,0.4791666666666667,0.020833333333333332,0.8928571428571429,96.0,15
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",24.0,,4.5,,0.5,0.5,0.0,1.0,108.0,14
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",48.0,,2.5,,0.7708333333333334,0.22916666666666666,0.04861111111111111,0.8409090909090909,96.0,24
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",48.0,,3.5,,0.75,0.25,0.006944444444444444,0.972972972972973,96.0,23
robust_mad_strict,"Median/MAD, textbook scale (diagnostic)",48.0,,4.5,,0.7291666666666666,0.2708333333333333,0.0,1.0,96.0,22
