config,profile_id,components,mae_normalized,mae_ua,crossing_recall,crossing_fpr
xgb_huber_resid_leak,SIM_X7R_100N_50V,1800,0.17445138448090416,0.04361284612022604,0.2864321608040201,0.007495315427857589
xgb_huber_resid_leak,SIM_X7R_10N_50V,1800,0.13616481370986214,0.01633977764518345,0.4642857142857143,0.008433734939759036
xgb_huber_resid_leak,SIM_X7R_1U_25V,1800,0.13492506386999378,0.09444754470899565,0.29357798165137616,0.011827321111768185
xgb_huber_resid_leak,SIM_X7R_4U7_16V,1800,0.13118066637156575,0.1705348662830355,0.3238095238095238,0.0058997050147492625
xgb_sq_log1p_leak,SIM_X7R_100N_50V,1800,0.21848235829002793,0.05462058957250698,0.22110552763819097,0.006870705808869456
xgb_sq_log1p_leak,SIM_X7R_10N_50V,1800,0.18260450822323004,0.02191254098678761,0.39285714285714285,0.006024096385542169
xgb_sq_log1p_leak,SIM_X7R_1U_25V,1800,0.17982087584893558,0.1258746130942549,0.27522935779816515,0.009461856889414548
xgb_sq_log1p_leak,SIM_X7R_4U7_16V,1800,0.1741179239180889,0.2263533010935155,0.2857142857142857,0.0058997050147492625
xgb_sq_log1p_resid_leak,SIM_X7R_100N_50V,1800,0.21856858424627174,0.054642146061567934,0.25125628140703515,0.007495315427857589
xgb_sq_log1p_resid_leak,SIM_X7R_10N_50V,1800,0.18116644017145903,0.021739972820575087,0.39285714285714285,0.006626506024096385
xgb_sq_log1p_resid_leak,SIM_X7R_1U_25V,1800,0.1789236854206209,0.12524657979443463,0.26605504587155965,0.00768775872264932
xgb_sq_log1p_resid_leak,SIM_X7R_4U7_16V,1800,0.1735947819975428,0.22567321659680567,0.26666666666666666,0.006489675516224189
xgb_abs_resid_aux,SIM_X7R_100N_50V,1800,0.17330249967557915,0.04332562491889479,0.2562814070351759,0.005621486570893191
xgb_abs_resid_aux,SIM_X7R_10N_50V,1800,0.13444762741117947,0.016133715289341537,0.4357142857142857,0.006626506024096385
xgb_abs_resid_aux,SIM_X7R_1U_25V,1800,0.13350772315580503,0.09345540620906352,0.28440366972477066,0.00768775872264932
xgb_abs_resid_aux,SIM_X7R_4U7_16V,1800,0.1297418168982708,0.16866436196775206,0.3142857142857143,0.0035398230088495575
xgb_abs_resid_peer,SIM_X7R_100N_50V,1800,0.17267816156350932,0.04316954039087733,0.2613065326633166,0.006246096189881324
xgb_abs_resid_peer,SIM_X7R_10N_50V,1800,0.13523453140197805,0.01622814376823737,0.42142857142857143,0.005421686746987952
xgb_abs_resid_peer,SIM_X7R_1U_25V,1800,0.13367759818419092,0.09357431872893365,0.27522935779816515,0.00827912477823773
xgb_abs_resid_peer,SIM_X7R_4U7_16V,1800,0.12967178182708136,0.1685733163752058,0.3238095238095238,0.004129793510324484
